date,eur_ret,usd_ret,dxy_ret,spy_ret,ewj_ret,vix_ret,ma50_usd,ma100_usd,ma200_usd,rsi14_usd,rsi7_usd,bb_width,macd,macd_signal,macd_hist,usd_vs_ma50,usd_vs_ma200,volatility,ret_ma5,volume_chg,true_range,atr14,candle_body,candle_range,upper_shadow,lower_shadow,is_doji,is_bullish_engulfing,is_bearish_engulfing,is_hammer,is_shooting_star,is_inverted_hammer,weekday,us10,jp10,rate_diff,open,close,high,low,actual,prob_up,forecast,result,pnl_yen
2014-01-29,-0.0004389815627743,-0.0063155849203265,0.0,-0.009605182330932,-0.0008598452278591,0.0665901262916189,103.4992,101.0008,100.0092,33.2894736842106,25.4545454545455,3.52164076592103,-0.245272999546543,0.0593329837593452,-0.304605983305889,-1.22920000000001,2.26080000000002,0.0151559597144812,-0.0042657108360246,0.0,1.55,0.995714285714287,0.640000000000001,1.55,0.510000000000005,0.399999999999992,0,0,0,0,False,0,2,2.69,0.614,2.076,102.3,102.71,102.87,102.09,rise,0.9575479030609131,rise,win,40999.99999999966
2014-01-30,-0.007905138339921,0.0043023369512075,0.0064724919093851,0.0106005074711023,0.0012908777969019,-0.0170075349838537,103.5304,101.033,100.02615,40.2439024390244,31.0096153846152,3.58864642419414,-0.278493847735717,-0.0082323825396672,-0.27026146519605,-0.820400000000021,2.68384999999999,0.0075941972544056,-0.0010509511690102,0.0,0.780000000000001,0.965,0.409999999999997,0.780000000000001,0.160000000000011,0.209999999999994,0,0,0,0,False,0,3,2.72,0.614,2.106,102.71,102.05,102.9,101.96,fall,0.04682028666138649,fall,win,65999.99999999967
2014-01-31,-0.0049431902021542,-0.0064258592152662,0.0027560863573724,-0.0058583942420352,-0.0262140094542328,0.0843188786684187,103.546,101.0599,100.0462,43.1686046511628,23.5930735930736,3.79942156262152,-0.353997431385523,-0.0773853923088383,-0.276612039076684,-1.49600000000001,2.00379999999998,0.0092111709946106,-0.0004186331805702,0.0,0.940000000000012,0.939285714285715,0.659999999999997,0.940000000000012,0.190000000000012,0.0900000000000034,0,0,0,0,False,0,4,2.67,0.614,2.056,101.99,100.95,102.39,100.79,fall,0.05687475576996803,fall,win,103999.9999999992
2014-02-03,0.002891673463335,-0.01077902988731,-0.0032065964269352,-0.0225053316870581,-0.0203000882612533,0.0708947687335892,103.5316,101.0786,100.06185,25.9970457902511,24.2761692650334,4.48503664245877,-0.49686778972783,-0.161281871792637,-0.335585917935193,-2.58159999999999,0.888149999999996,0.0158494304110945,-0.0031024532384076,0.0,1.59999999999999,0.962142857142857,1.03999999999999,1.59999999999999,0.400000000000006,0.159999999999997,0,0,0,0,False,0,0,2.61,0.586,2.024,100.97,101.63,101.67,100.78,rise,0.9990109205245972,rise,win,65999.99999999967
2014-02-04,-0.0005914534969688,0.0067360079247151,0.0009191176470588,0.007004650628696,0.0009009009009008,-0.0224443606186345,103.5388,101.1037,100.08315,29.5358649789029,42.3444976076555,4.67713767619611,-0.548895930426497,-0.238804683519409,-0.310091246907088,-1.90880000000001,1.54685000000001,0.0087572567155367,-0.0024964258293959,0.0,0.890000000000001,0.982857142857143,0.659999999999997,0.890000000000001,0.0400000000000062,0.189999999999998,0,0,0,0,False,0,1,2.64,0.586,2.054,101.64,101.45,101.76,100.84,fall,0.06615056097507477,fall,win,18999.999999999774
2014-02-05,0.0009616807220003,-0.0017711305716815,-0.0013774104683196,-0.0012543474542448,0.0018001800180019,0.0393594443372564,103.5248,101.1369,100.10395,29.7029702970297,36.6748166259168,4.76548114321147,-0.597762468803765,-0.31059624057628,-0.287166228227485,-2.0748,1.34605000000001,0.0090685066535239,-0.001587534959667,0.0,0.920000000000002,0.993571428571429,0.189999999999998,0.920000000000002,0.120000000000005,0.609999999999999,0,0,0,1,False,0,2,2.7,0.586,2.114,101.43,102.1,102.13,101.26,rise,0.9564840197563171,rise,win,66999.99999999875
2014-02-06,0.0042864533293917,0.0064070970921635,-0.0013793103448276,0.0131871895872581,0.0116801437556153,-0.099498793391498,103.5208,101.1639,100.12485,35.7142857142857,40.5963302752292,4.6157528894895,-0.577384258486191,-0.363953844158262,-0.213430414327929,-1.42080000000003,1.97514999999999,0.0085210577864837,-0.0011665829314758,0.0,0.86999999999999,1.03642857142857,0.669999999999988,0.86999999999999,0.0300000000000011,0.170000000000002,0,1,0,0,False,0,3,2.73,0.586,2.144,102.09,102.36,102.55,101.53,rise,0.9507436752319336,rise,win,26999.999999999603
2014-02-07,0.0030907351534329,0.0025465230166503,-0.0032228360957642,0.0123957629028623,0.0159857904085257,-0.0628736343022056,103.5202,101.1945,100.14165,38.4910485933504,51.1335012594459,4.543256425446089,-0.534097805861464,-0.397982636498903,-0.136115169362561,-1.1602,2.21835000000002,0.0099648300117232,0.0006278935149074,0.0,1.02,1.07785714285714,0.269999999999996,1.02,0.189999999999998,0.560000000000002,0,0,0,1,False,0,4,2.71,0.586,2.124,102.53,102.25,102.63,102.0,fall,0.060862574726343155,fall,win,28000.000000000113
2014-02-10,0.0009537084586604,-0.001074638530676,-0.0009237875288683,0.0018365983971504,-0.0043706293706292,0.0015398152221733,103.5066,101.2293,100.15625,36.9230769230768,43.6813186813187,4.59121541068998,-0.502872262570179,-0.418960561713158,-0.0839117008570209,-1.25659999999999,2.09375,0.0061613691931539,0.0025687717862342,0.0,0.629999999999996,1.07357142857143,0.280000000000001,0.629999999999996,0.0999999999999943,0.25,0,0,0,0,False,0,0,2.7,0.586,2.114,102.25,102.62,102.69,102.07,rise,0.9545726776123047,rise,win,37000.00000000045
2014-02-11,-0.000513046027558,0.0036185819070905,0.0,0.0109438364535303,0.0140474100087796,-0.0377772896990994,103.509,101.2683,100.17455,38.26850690087831,58.5074626865673,4.44500239772472,-0.443161398024927,-0.423800728975512,-0.019360669049415,-0.888999999999996,2.44545000000001,0.0060417072695381,0.0019452865827093,0.0,0.620000000000005,1.07714285714286,0.370000000000005,0.620000000000005,0.0699999999999931,0.180000000000007,0,0,0,0,False,0,1,2.75,0.586,2.164,102.61,102.51,102.66,102.22,fall,0.07772203534841537,fall,win,9999.999999999432
2014-02-12,-0.0032998460071862,-0.0010719158058857,0.0009246417013407,0.0004945598417408,-0.0017316017316018,-0.0207715133531158,103.5124,101.3092,100.19245,44.5255474452555,83.0508474576274,4.16638932410177,-0.40010403807608,-0.419061390795625,0.0189573527195454,-1.00239999999999,2.31755000000001,0.0042922641693493,0.0020851295358684,0.0,0.439999999999998,0.977857142857143,0.0999999999999943,0.439999999999998,0.0499999999999971,0.290000000000006,0,0,0,1,False,0,2,2.8,0.586,2.214,102.51,102.15,102.56,101.71,fall,0.0626017227768898,fall,win,35999.99999999994
2014-02-13,0.0063272513243083,-0.0035118525021949,-0.00554272517321,0.0051628494535068,-0.0086730268863833,-0.0072027972027971,103.52,101.341,100.20005,49.0353697749197,62.745098039216,3.93321938579982,-0.390527997796212,-0.413354712195743,0.0228267143995303,-1.36999999999999,1.94995,0.0083210964268233,0.0001013396169968,0.0,0.850000000000009,0.927857142857144,0.359999999999999,0.850000000000009,0.0499999999999971,0.440000000000012,0,0,0,0,False,0,3,2.73,0.586,2.144,102.15,101.77,102.38,101.59,fall,0.02757844142615795,fall,win,38000.00000000097
2014-02-14,0.0009504313496125,-0.0037200195790505,-0.0018578727357177,0.0055188241079723,-0.0043744531933507,-0.0150501279613063,103.4974,101.3763,100.20095,43.9178515007898,57.142857142857,3.69050845163218,-0.408888330935397,-0.412461435943674,0.0035731050082762,-1.7274,1.56904999999999,0.0077626019455634,-0.0011519689021433,0.0,0.789999999999992,0.903571428571428,0.38000000000001,0.789999999999992,0.22999999999999,0.179999999999993,0,0,0,0,False,0,4,2.75,0.586,2.164,101.62,101.89,101.97,101.38,rise,0.9273781180381775,rise,win,26999.999999999603
